di_ks,di_mmd,dose,family,gate_input,ks_denominator_synth_cross,ks_numerator_real_synth,mmd_cross_by_beta_pair,mmd_denominator_synth_cross,mmd_numerator_real_synth,mmd_real_by_beta,seed,variant
1.5760765550239237,1.6219756390438396,0,noise,raw_dark_channel,0.23222222222222222,0.36600000000000005,"{""beta_0.005_vs_beta_0.01"": 0.113650182543186, ""beta_0.005_vs_beta_0.02"": 0.393537752319128, ""beta_0.01_vs_beta_0.02"": 0.3103566355805822}",0.27251485681429877,0.44201245903031267,"{""beta_0.005"": 0.40571964570734487, ""beta_0.01"": 0.43506516441063675, ""beta_0.02"": 0.4852525669729563}",42,raw_dark_channel
1.5939012584704746,1.62985595316427,1,noise,raw_dark_channel,0.22955555555555554,0.36588888888888893,"{""beta_0.005_vs_beta_0.01"": 0.11294671552562786, ""beta_0.005_vs_beta_0.02"": 0.39052124282673717, ""beta_0.01_vs_beta_0.02"": 0.30858554939741395}",0.27068450258325966,0.44117674796463496,"{""beta_0.005"": 0.4040624804722279, ""beta_0.01"": 0.43490107409617396, ""beta_0.02"": 0.48456668932550306}",42,raw_dark_channel
1.6134054408390692,1.6423806537980687,2,noise,raw_dark_channel,0.226,0.36462962962962964,"{""beta_0.005_vs_beta_0.01"": 0.11132132822549591, ""beta_0.005_vs_beta_0.02"": 0.38514602218142574, ""beta_0.01_vs_beta_0.02"": 0.30494196944350765}",0.2671364399501431,0.4387397208986045,"{""beta_0.005"": 0.39991852241847164, ""beta_0.01"": 0.4332665969193068, ""beta_0.02"": 0.4830340433580352}",42,raw_dark_channel
1.6398176291793307,1.6784826377474662,3,noise,raw_dark_channel,0.21933333333333335,0.3596666666666666,"{""beta_0.005_vs_beta_0.01"": 0.10748057414835091, ""beta_0.005_vs_beta_0.02"": 0.36847519270594453, ""beta_0.01_vs_beta_0.02"": 0.29454467728750994}",0.25683348138060175,0.4310905392895772,"{""beta_0.005"": 0.38724981607783765, ""beta_0.01"": 0.4291028614421291, ""beta_0.02"": 0.47691894034876475}",42,raw_dark_channel
1.6549270722162932,1.7650738122948983,4,noise,raw_dark_channel,0.2082222222222222,0.34459259259259256,"{""beta_0.005_vs_beta_0.01"": 0.10433065066911984, ""beta_0.005_vs_beta_0.02"": 0.3326299914966477, ""beta_0.01_vs_beta_0.02"": 0.2690468809644787}",0.23533584104341543,0.41538513012012745,"{""beta_0.005"": 0.3631517377956431, ""beta_0.01"": 0.4197416245978152, ""beta_0.02"": 0.46326202796692406}",42,raw_dark_channel
1.5760765550239237,1.6219756390438396,0,jpeg,raw_dark_channel,0.23222222222222222,0.36600000000000005,"{""beta_0.005_vs_beta_0.01"": 0.113650182543186, ""beta_0.005_vs_beta_0.02"": 0.393537752319128, ""beta_0.01_vs_beta_0.02"": 0.3103566355805822}",0.27251485681429877,0.44201245903031267,"{""beta_0.005"": 0.40571964570734487, ""beta_0.01"": 0.43506516441063675, ""beta_0.02"": 0.4852525669729563}",42,raw_dark_channel
1.5395156150414278,1.6204266537821337,1,jpeg,raw_dark_channel,0.23244444444444445,0.35785185185185187,"{""beta_0.005_vs_beta_0.01"": 0.11134693564556206, ""beta_0.005_vs_beta_0.02"": 0.3870993515726188, ""beta_0.01_vs_beta_0.02"": 0.3077818291142321}",0.26874270544413764,0.43547784291120156,"{""beta_0.005"": 0.39871048028649053, ""beta_0.01"": 0.43117622547811946, ""beta_0.02"": 0.47654682296899453}",42,raw_dark_channel
1.5218839200761183,1.6447937779855888,2,jpeg,raw_dark_channel,0.23355555555555552,0.35544444444444445,"{""beta_0.005_vs_beta_0.01"": 0.10923713125751262, ""beta_0.005_vs_beta_0.02"": 0.38018517541773533, ""beta_0.01_vs_beta_0.02"": 0.30402744545913024}",0.2644832507114594,0.43502040515161094,"{""beta_0.005"": 0.3990367437350369, ""beta_0.01"": 0.433577237785249, ""beta_0.02"": 0.4724472339345469}",42,raw_dark_channel
1.556266404199475,1.6723084220951805,3,jpeg,raw_dark_channel,0.22577777777777777,0.35137037037037033,"{""beta_0.005_vs_beta_0.01"": 0.10577697829835075, ""beta_0.005_vs_beta_0.02"": 0.36975938565826555, ""beta_0.01_vs_beta_0.02"": 0.299127515574614}",0.25822129317707676,0.4318256433443342,"{""beta_0.005"": 0.39642463094063457, ""beta_0.01"": 0.4337837330137104, ""beta_0.02"": 0.4652685660786578}",42,raw_dark_channel
1.5945992432060543,1.7617170941374276,4,jpeg,raw_dark_channel,0.21533333333333335,0.3433703703703704,"{""beta_0.005_vs_beta_0.01"": 0.09905698152850854, ""beta_0.005_vs_beta_0.02"": 0.3422999039014425, ""beta_0.01_vs_beta_0.02"": 0.2811573024905058}",0.24083806264015228,0.42428853187209686,"{""beta_0.005"": 0.3960769819397158, ""beta_0.01"": 0.4333887183649918, ""beta_0.02"": 0.4433998953115829}",42,raw_dark_channel
